GEO_ID,NAME,B01003_001E,B01003_001M
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total
1400000US39049000110,Census Tract 1.10; Franklin County; Ohio,3354,388
1400000US39049000120,Census Tract 1.20; Franklin County; Ohio,3307,364
1400000US39049000210,Census Tract 2.10; Franklin County; Ohio,3116,368
1400000US39049000220,Census Tract 2.20; Franklin County; Ohio,4183,398
1400000US39049000310,Census Tract 3.10; Franklin County; Ohio,2887,211
1400000US39049000320,Census Tract 3.20; Franklin County; Ohio,3011,628
1400000US39049000330,Census Tract 3.30; Franklin County; Ohio,2517,542
1400000US39049000410,Census Tract 4.10; Franklin County; Ohio,2470,186
1400000US39049000420,Census Tract 4.20; Franklin County; Ohio,3269,523
1400000US39049000500,Census Tract 5; Franklin County; Ohio,4168,766
1400000US39049000600,Census Tract 6; Franklin County; Ohio,4000,458
1400000US39049000710,Census Tract 7.10; Franklin County; Ohio,3277,657
1400000US39049000720,Census Tract 7.20; Franklin County; Ohio,2959,589
1400000US39049000730,Census Tract 7.30; Franklin County; Ohio,3404,743
1400000US39049000810,Census Tract 8.10; Franklin County; Ohio,2660,597
1400000US39049000820,Census Tract 8.20; Franklin County; Ohio,3646,546
1400000US39049000910,Census Tract 9.10; Franklin County; Ohio,3478,649
1400000US39049000920,Census Tract 9.20; Franklin County; Ohio,2425,504
1400000US39049001000,Census Tract 10; Franklin County; Ohio,4931,954
1400000US39049001110,Census Tract 11.10; Franklin County; Ohio,3114,433
1400000US39049001121,Census Tract 11.21; Franklin County; Ohio,10370,584
1400000US39049001122,Census Tract 11.22; Franklin County; Ohio,2327,221
1400000US39049001200,Census Tract 12; Franklin County; Ohio,4039,524
1400000US39049001301,Census Tract 13.01; Franklin County; Ohio,2987,582
1400000US39049001302,Census Tract 13.02; Franklin County; Ohio,2385,421
1400000US39049001400,Census Tract 14; Franklin County; Ohio,1653,404
1400000US39049001500,Census Tract 15; Franklin County; Ohio,1744,429
1400000US39049001600,Census Tract 16; Franklin County; Ohio,2784,326
1400000US39049001700,Census Tract 17; Franklin County; Ohio,3599,555
1400000US39049001810,Census Tract 18.10; Franklin County; Ohio,3483,686
1400000US39049001820,Census Tract 18.20; Franklin County; Ohio,2236,281
1400000US39049001901,Census Tract 19.01; Franklin County; Ohio,3675,361
1400000US39049001902,Census Tract 19.02; Franklin County; Ohio,4213,506
1400000US39049002000,Census Tract 20; Franklin County; Ohio,3155,418
1400000US39049002100,Census Tract 21; Franklin County; Ohio,2223,301
1400000US39049002200,Census Tract 22; Franklin County; Ohio,3307,628
1400000US39049002300,Census Tract 23; Franklin County; Ohio,1742,339
1400000US39049002510,Census Tract 25.10; Franklin County; Ohio,2735,529
1400000US39049002520,Census Tract 25.20; Franklin County; Ohio,2847,415
1400000US39049002600,Census Tract 26; Franklin County; Ohio,4796,880
1400000US39049002710,Census Tract 27.10; Franklin County; Ohio,2422,397
1400000US39049002730,Census Tract 27.30; Franklin County; Ohio,2451,473
1400000US39049002740,Census Tract 27.40; Franklin County; Ohio,2436,431
1400000US39049002750,Census Tract 27.50; Franklin County; Ohio,2723,633
1400000US39049002760,Census Tract 27.60; Franklin County; Ohio,3273,593
1400000US39049002770,Census Tract 27.70; Franklin County; Ohio,2216,298
1400000US39049002780,Census Tract 27.80; Franklin County; Ohio,2483,367
1400000US39049002800,Census Tract 28; Franklin County; Ohio,2360,513
1400000US39049002900,Census Tract 29; Franklin County; Ohio,3323,653
1400000US39049003000,Census Tract 30; Franklin County; Ohio,3670,377
1400000US39049003200,Census Tract 32; Franklin County; Ohio,3052,340
1400000US39049003600,Census Tract 36; Franklin County; Ohio,2050,394
1400000US39049003700,Census Tract 37; Franklin County; Ohio,3144,407
1400000US39049003800,Census Tract 38; Franklin County; Ohio,2367,473
1400000US39049004001,Census Tract 40.01; Franklin County; Ohio,1443,259
1400000US39049004002,Census Tract 40.02; Franklin County; Ohio,2893,393
1400000US39049004200,Census Tract 42; Franklin County; Ohio,779,141
1400000US39049004301,Census Tract 43.01; Franklin County; Ohio,2821,323
1400000US39049004302,Census Tract 43.02; Franklin County; Ohio,1969,1081
1400000US39049004500,Census Tract 45; Franklin County; Ohio,4835,724
1400000US39049004610,Census Tract 46.10; Franklin County; Ohio,3585,568
1400000US39049004620,Census Tract 46.20; Franklin County; Ohio,2950,666
1400000US39049004700,Census Tract 47; Franklin County; Ohio,5871,1021
1400000US39049004810,Census Tract 48.10; Franklin County; Ohio,2459,636
1400000US39049004820,Census Tract 48.20; Franklin County; Ohio,2534,488
1400000US39049004900,Census Tract 49; Franklin County; Ohio,5693,994
1400000US39049005001,Census Tract 50.01; Franklin County; Ohio,1717,351
1400000US39049005002,Census Tract 50.02; Franklin County; Ohio,4028,995
1400000US39049005100,Census Tract 51; Franklin County; Ohio,2397,540
1400000US39049005200,Census Tract 52; Franklin County; Ohio,3133,453
1400000US39049005300,Census Tract 53; Franklin County; Ohio,2945,391
1400000US39049005410,Census Tract 54.10; Franklin County; Ohio,1623,326
1400000US39049005420,Census Tract 54.20; Franklin County; Ohio,2121,431
1400000US39049005500,Census Tract 55; Franklin County; Ohio,4647,593
1400000US39049005610,Census Tract 56.10; Franklin County; Ohio,1694,248
1400000US39049005620,Census Tract 56.20; Franklin County; Ohio,2156,356
1400000US39049005700,Census Tract 57; Franklin County; Ohio,3916,561
1400000US39049005810,Census Tract 58.10; Franklin County; Ohio,2874,395
1400000US39049005820,Census Tract 58.20; Franklin County; Ohio,2197,391
1400000US39049005900,Census Tract 59; Franklin County; Ohio,2440,487
1400000US39049006000,Census Tract 60; Franklin County; Ohio,1957,337
1400000US39049006100,Census Tract 61; Franklin County; Ohio,2407,343
1400000US39049006236,Census Tract 62.36; Franklin County; Ohio,6191,781
1400000US39049006237,Census Tract 62.37; Franklin County; Ohio,6736,1283
1400000US39049006238,Census Tract 62.38; Franklin County; Ohio,1838,326
1400000US39049006239,Census Tract 62.39; Franklin County; Ohio,6294,773
1400000US39049006240,Census Tract 62.40; Franklin County; Ohio,4892,427
1400000US39049006241,Census Tract 62.41; Franklin County; Ohio,8591,1165
1400000US39049006301,Census Tract 63.01; Franklin County; Ohio,2678,306
1400000US39049006302,Census Tract 63.02; Franklin County; Ohio,4980,1207
1400000US39049006310,Census Tract 63.10; Franklin County; Ohio,4394,433
1400000US39049006321,Census Tract 63.21; Franklin County; Ohio,4400,452
1400000US39049006323,Census Tract 63.23; Franklin County; Ohio,3465,347
1400000US39049006330,Census Tract 63.30; Franklin County; Ohio,4637,559
1400000US39049006340,Census Tract 63.40; Franklin County; Ohio,3548,457
1400000US39049006351,Census Tract 63.51; Franklin County; Ohio,4313,606
