type,GEOID,racial_majority,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated,,
Census Tract,39049000110,White,Jan-20,0,0,1,,,
Census Tract,39049000110,White,Feb-20,0,0,0.667,,,
Census Tract,39049000110,White,Mar-20,0,0,0.333,,,
Census Tract,39049000110,White,Apr-20,0,0.5,0.333,,,Sum by census tract
Census Tract,39049000110,White,May-20,0,0,0.333,,,
Census Tract,39049000110,White,Jun-20,1,0,0.333,,,
Census Tract,39049000110,White,Jul-20,0,0,0.333,,,
Census Tract,39049000110,White,Aug-20,0,0,0,,,
Census Tract,39049000110,White,Sep-20,1,0,0.667,,,
Census Tract,39049000110,White,Oct-20,0,0,0,,,
Census Tract,39049000110,White,Nov-20,0,0.5,0.333,,,
Census Tract,39049000110,White,Dec-20,0,0,0,,,
Census Tract,39049000110,White,Jan-21,0,0,1,,,
Census Tract,39049000110,White,Feb-21,0,0,0.667,,,
Census Tract,39049000110,White,Mar-21,0,0,0.333,,,
Census Tract,39049000110,White,Apr-21,0,0.5,0.333,,,
Census Tract,39049000110,White,May-21,0,0,0.333,,,
Census Tract,39049000110,White,Jun-21,0,0,0.333,,,
Census Tract,39049000110,White,Jul-21,0,0,0.333,,,
Census Tract,39049000110,White,Aug-21,0,0,0,,,
Census Tract,39049000110,White,Sep-21,0,0,0.667,,,
Census Tract,39049000110,White,Oct-21,0,0,0,,,
Census Tract,39049000110,White,Nov-21,0,0.5,0.333,,,
Census Tract,39049000110,White,Dec-21,0,0,0,,,
Census Tract,39049000110,White,Jan-22,0,0,1,,,
Census Tract,39049000110,White,Feb-22,0,0,0.667,,,
Census Tract,39049000110,White,Mar-22,0,0,0.333,,,
Census Tract,39049000110,White,Apr-22,0,0.5,0.333,,,
Census Tract,39049000110,White,May-22,0,0,0.333,,,
Census Tract,39049000110,White,Jun-22,0,0,0.333,,,
Census Tract,39049000110,White,Jul-22,0,0,0.333,,,
Census Tract,39049000110,White,Aug-22,0,0,0,,,
Census Tract,39049000110,White,Sep-22,0,0,0.667,,,
Census Tract,39049000110,White,Oct-22,0,0,0,,,
Census Tract,39049000110,White,Nov-22,0,0.5,0.333,,,
Census Tract,39049000110,White,Dec-22,0,0,0,,,
Census Tract,39049000110,White,Jan-23,0,0,1,,,
Census Tract,39049000110,White,Feb-23,0,0,0.667,,,
Census Tract,39049000110,White,Mar-23,0,0,0.333,,,
Census Tract,39049000110,White,Apr-23,0,0.5,0.333,,,
Census Tract,39049000110,White,May-23,0,0,0.333,,,
Census Tract,39049000110,White,Jun-23,0,0,0.333,,,
Census Tract,39049000110,White,Jul-23,0,0,0.333,,,
Census Tract,39049000110,White,Aug-23,0,0,0,,,
Census Tract,39049000110,White,Sep-23,0,0,0.667,,,
Census Tract,39049000110,White,Oct-23,0,0,0,,,
Census Tract,39049000110,White,Nov-23,0,0.5,0.333,,,
Census Tract,39049000110,White,Dec-23,0,0,0,,,
Census Tract,39049000110,White,Jan-24,0,0,1,,,
Census Tract,39049000110,White,Feb-24,0,0,0.667,,,
Census Tract,39049000110,White,Mar-24,0,0,0.333,,,
Census Tract,39049000110,White,Apr-24,1,0.5,0.333,,,
Census Tract,39049000110,White,May-24,0,0,0.333,,,
Census Tract,39049000110,White,Jun-24,0,0,0.333,,,
Census Tract,39049000110,White,Jul-24,0,0,0.333,,,
Census Tract,39049000110,White,Aug-24,0,0,0,,,
Census Tract,39049000110,White,Sep-24,0,0,0.667,,,
Census Tract,39049000110,White,Oct-24,0,0,0,,,
Census Tract,39049000110,White,Nov-24,1,0.5,0.333,,,
Census Tract,39049000110,White,Dec-24,0,0,0,,,
Census Tract,39049000110,White,Jan-25,0,0,1,,,
Census Tract,39049000110,White,Feb-25,0,0,0.667,,,
Census Tract,39049000110,White,Mar-25,0,0,0.333,,,
Census Tract,39049000110,White,Apr-25,1,0.5,0.333,,,
Census Tract,39049000110,White,May-25,1,0,0.333,,,
Census Tract,39049000110,White,Jun-25,1,0,0.333,,,
Census Tract,39049000110,White,Jul-25,0,0,0,7/5/25,,
Census Tract,39049000120,White,Jan-20,0,0,0,,,
Census Tract,39049000120,White,Feb-20,0,0,0,,,
Census Tract,39049000120,White,Mar-20,0,0,0,,,
Census Tract,39049000120,White,Apr-20,0,0.5,0.333,,,
Census Tract,39049000120,White,May-20,0,0,0,,,
Census Tract,39049000120,White,Jun-20,0,1,0.333,,,
Census Tract,39049000120,White,Jul-20,0,1,0,,,
Census Tract,39049000120,White,Aug-20,0,0,0.333,,,
Census Tract,39049000120,White,Sep-20,0,0.5,1,,,
Census Tract,39049000120,White,Oct-20,0,0,0.333,,,
Census Tract,39049000120,White,Nov-20,0,0,0,,,
Census Tract,39049000120,White,Dec-20,0,0,0,,,
Census Tract,39049000120,White,Jan-21,0,0,0,,,
Census Tract,39049000120,White,Feb-21,0,0,0,,,
Census Tract,39049000120,White,Mar-21,0,0,0,,,
Census Tract,39049000120,White,Apr-21,0,0.5,0.333,,,
Census Tract,39049000120,White,May-21,0,0,0,,,
Census Tract,39049000120,White,Jun-21,0,1,0.333,,,
Census Tract,39049000120,White,Jul-21,0,1,0,,,
Census Tract,39049000120,White,Aug-21,0,0,0.333,,,
Census Tract,39049000120,White,Sep-21,1,0.5,1,,,
Census Tract,39049000120,White,Oct-21,0,0,0.333,,,
Census Tract,39049000120,White,Nov-21,0,0,0,,,
Census Tract,39049000120,White,Dec-21,0,0,0,,,
Census Tract,39049000120,White,Jan-22,0,0,0,,,
Census Tract,39049000120,White,Feb-22,1,0,0,,,
Census Tract,39049000120,White,Mar-22,0,0,0,,,
Census Tract,39049000120,White,Apr-22,1,0.5,0.333,,,
Census Tract,39049000120,White,May-22,0,0,0,,,
Census Tract,39049000120,White,Jun-22,0,1,0.333,,,
Census Tract,39049000120,White,Jul-22,0,1,0,,,
Census Tract,39049000120,White,Aug-22,0,0,0.333,,,
Census Tract,39049000120,White,Sep-22,0,0.5,1,,,
Census Tract,39049000120,White,Oct-22,0,0,0.333,,,
Census Tract,39049000120,White,Nov-22,1,0,0,,,
Census Tract,39049000120,White,Dec-22,0,0,0,,,
Census Tract,39049000120,White,Jan-23,0,0,0,,,
Census Tract,39049000120,White,Feb-23,0,0,0,,,
Census Tract,39049000120,White,Mar-23,0,0,0,,,
Census Tract,39049000120,White,Apr-23,0,0.5,0.333,,,
Census Tract,39049000120,White,May-23,0,0,0,,,
Census Tract,39049000120,White,Jun-23,0,1,0.333,,,
Census Tract,39049000120,White,Jul-23,1,1,0,,,
Census Tract,39049000120,White,Aug-23,0,0,0.333,,,
Census Tract,39049000120,White,Sep-23,0,0.5,1,,,
Census Tract,39049000120,White,Oct-23,0,0,0.333,,,
Census Tract,39049000120,White,Nov-23,0,0,0,,,
Census Tract,39049000120,White,Dec-23,0,0,0,,,
Census Tract,39049000120,White,Jan-24,0,0,0,,,
Census Tract,39049000120,White,Feb-24,0,0,0,,,
Census Tract,39049000120,White,Mar-24,0,0,0,,,
Census Tract,39049000120,White,Apr-24,1,0.5,0.333,,,
Census Tract,39049000120,White,May-24,0,0,0,,,
Census Tract,39049000120,White,Jun-24,2,1,0.333,,,
Census Tract,39049000120,White,Jul-24,1,1,0,,,
Census Tract,39049000120,White,Aug-24,0,0,0.333,,,
Census Tract,39049000120,White,Sep-24,1,0.5,1,,,
Census Tract,39049000120,White,Oct-24,0,0,0.333,,,
Census Tract,39049000120,White,Nov-24,0,0,0,,,
Census Tract,39049000120,White,Dec-24,0,0,0,,,
Census Tract,39049000120,White,Jan-25,0,0,0,,,
Census Tract,39049000120,White,Feb-25,0,0,0,,,
Census Tract,39049000120,White,Mar-25,0,0,0,,,
Census Tract,39049000120,White,Apr-25,0,0.5,0.333,,,
Census Tract,39049000120,White,May-25,1,0,0,,,
Census Tract,39049000120,White,Jun-25,2,1,0.333,,,
Census Tract,39049000120,White,Jul-25,0,0,0,7/5/25,,
Census Tract,39049000210,White,Jan-20,4,1,0.333,,,
Census Tract,39049000210,White,Feb-20,0,0,0.333,,,
Census Tract,39049000210,White,Mar-20,0,0,0,,,
Census Tract,39049000210,White,Apr-20,0,2.5,0,,,
Census Tract,39049000210,White,May-20,0,0.5,0,,,
Census Tract,39049000210,White,Jun-20,0,1,0,,,
Census Tract,39049000210,White,Jul-20,0,0,1,,,
Census Tract,39049000210,White,Aug-20,0,0.5,0.667,,,
Census Tract,39049000210,White,Sep-20,0,1.5,0,,,
Census Tract,39049000210,White,Oct-20,0,0.5,1,,,
Census Tract,39049000210,White,Nov-20,0,0.5,1,,,
Census Tract,39049000210,White,Dec-20,0,1,0.333,,,
Census Tract,39049000210,White,Jan-21,1,1,0.333,,,
Census Tract,39049000210,White,Feb-21,0,0,0.333,,,
Census Tract,39049000210,White,Mar-21,0,0,0,,,
Census Tract,39049000210,White,Apr-21,1,2.5,0,,,
Census Tract,39049000210,White,May-21,0,0.5,0,,,
Census Tract,39049000210,White,Jun-21,0,1,0,,,
Census Tract,39049000210,White,Jul-21,0,0,1,,,
Census Tract,39049000210,White,Aug-21,0,0.5,0.667,,,
Census Tract,39049000210,White,Sep-21,0,1.5,0,,,
Census Tract,39049000210,White,Oct-21,0,0.5,1,,,
Census Tract,39049000210,White,Nov-21,0,0.5,1,,,
Census Tract,39049000210,White,Dec-21,0,1,0.333,,,
Census Tract,39049000210,White,Jan-22,0,1,0.333,,,
Census Tract,39049000210,White,Feb-22,0,0,0.333,,,
Census Tract,39049000210,White,Mar-22,1,0,0,,,
Census Tract,39049000210,White,Apr-22,0,2.5,0,,,
Census Tract,39049000210,White,May-22,0,0.5,0,,,
Census Tract,39049000210,White,Jun-22,0,1,0,,,
Census Tract,39049000210,White,Jul-22,2,0,1,,,
Census Tract,39049000210,White,Aug-22,0,0.5,0.667,,,
Census Tract,39049000210,White,Sep-22,2,1.5,0,,,
Census Tract,39049000210,White,Oct-22,1,0.5,1,,,
