GEOID,NAME,racial_majority,total_filings_12months,eviction_rate_12months,SVI_numeric,ALAND,AWATER,estimated_population,SVI_normalized,eviction_rate_normalized
39049000110,1.10,White,5,2.550536326778795,0.022,1960372,17783,1960.372,0.022,0.006526404776577602
39049000120,1.20,White,5,1.735162796443888,0.088,2881574,69431,2881.574,0.088,0.0044399974405200035
39049000210,2.10,White,8,4.687499084472836,0.045,1706667,7613,1706.667,0.045,0.011994542517943093
39049000220,2.20,White,4,2.0562296561778393,0.03,1945308,10295,1945.308,0.03,0.005261554955685779
39049000310,3.10,White,87,47.17318741094027,0.71,1844268,284,1844.268,0.71,0.12070846135878321
39049000320,3.20,White,12,9.406718278194287,0.282,1275684,0,1275.684,0.282,0.02407025160087104
39049000330,3.30,White,74,92.9845658186223,0.688,795831,0,795.831,0.688,0.23793227649224652
39049000410,4.10,White,4,5.164895753035345,0.031,774459,21835,774.459,0.031,0.013216122412852315
39049000420,4.20,White,3,2.048405180007019,0.033,1464554,1775,1464.554,0.033,0.0052415334025248585
39049000500,5,White,12,9.506592029356357,0.171,1262282,48380,1262.282,0.171,0.024325812174463057
39049000600,6,White,30,30.495707729137123,0.21,983745,12989,983.745,0.21,0.07803352200825817
39049000710,7.10,Other,71,54.20736991185576,0.758,1309785,335,1309.785,0.758,0.13870778243933135
39049000720,7.20,Black,77,35.21411784290204,0.842,2186623,761,2186.623,0.842,0.09010716078807476
39049000730,7.30,Black,142,136.13072384157067,0.868,1043115,0,1043.115,0.868,0.3483362291258387
39049000810,8.10,White,46,46.26314476743718,0.496,994312,0,994.312,0.496,0.11837981126543248
39049000820,8.20,Other,121,83.61163569926623,0.844,1447167,730,1447.167,0.844,0.21394848325659
39049000910,9.10,Black,102,79.53024137428258,0.838,1282531,3900,1282.531,0.838,0.20350486356060588
39049000920,9.20,Black,65,71.00767538349608,0.877,915394,0,915.394,0.877,0.18169701287172177
39049001000,10,White,37,41.38410827872309,0.363,894063,0,894.063,0.363,0.10589515589678862
39049001110,11.10,White,10,18.891521107496533,0.505,529338,19421,529.338,0.505,0.04834030878066184
39049001121,11.21,White,0,0,0.283,900552,2724,900.552,0.283,0
39049001122,11.22,White,14,2.3142182760759917,0.446,6049559,209776,6049.559,0.446,0.005921705584997711
39049001200,12,White,28,41.71701264472451,0.479,671189,0,671.189,0.479,0.10674700365194653
39049001301,13.01,White,25,68.32635948957476,0.423,365891,0,365.891,0.423,0.17483596459968934
39049001302,13.02,White,23,72.29544318678313,0.378,318139,0,318.139,0.378,0.1849921997915293
39049001400,14,Black,57,30.731838292301838,0.873,1854754,0,1854.754,0.873,0.07863774144993162
39049001500,15,Black,73,55.633416935879055,0.957,1312161,0,1312.161,0.957,0.14235680323997377
39049001600,16,Other,85,173.4039189285678,0.465,490185,0,490.185,0.465,0.4437122313807498
39049001700,17,White,86,167.591668745323,0.616,513152,0,513.152,0.616,0.4288396349937379
39049001810,18.10,White,40,101.26197739326355,0.439,395015,0,395.015,0.439,0.2591128171774538
39049001820,18.20,White,44,50.115208029367516,0.389,877977,31838,877.977,0.389,0.12823661032702122
39049001901,19.01,White,44,25.525062130321686,0.435,1723796,58279,1723.796,0.435,0.06531445392905373
39049001902,19.02,White,25,22.538197737525557,0.168,1109228,0,1109.228,0.168,0.05767155708595973
39049002000,20,White,18,25.877535998527858,0.048,695584,6741,695.584,0.048,0.06621637683559191
39049002100,21,White,25,47.935513312650755,0.066,521534,3515,521.534,0.066,0.12265912850043323
39049002200,22,White,69,66.11576583137222,0.049,1043624,0,1043.624,0.049,0.16917941744194465
39049002300,23,Black,47,18.271635462989636,0.646,2572293,80,2572.293,0.646,0.04675412293074253
39049002510,25.10,Black,57,11.547776901002123,0.947,4936015,17613,4936.015,0.947,0.029548869990311307
39049002520,25.20,Black,46,29.287461528372546,0.642,1570638,25707,1570.638,0.642,0.07494181784660418
39049002600,26,Other,138,38.689404822381995,0.999,3566868,21400,3566.868,0.999,0.09899985104491227
39049002710,27.10,Black,182,216.05220391054488,0.731,842389,0,842.389,0.731,0.5528422084357122
39049002730,27.30,Black,170,182.62250210015878,0.95,930882,0,930.882,0.95,0.4673010760534049
