GEOID,NAME,racial_majority,total_filings_2020,eviction_rate_2020,SVI_numeric,ALAND,AWATER,estimated_population,SVI_normalized,eviction_rate_normalized
39049007721,77.21,Black,1796,835.4693002246836,0.987,2149690,15318,2149.69,0.987,0.5686348077060283
39049009325,93.25,Black,1736,334.62299399683263,0.982,5187928,77217,5187.928,0.982,0.2277501780068192
39049006945,69.45,Black,1564,794.8139911655712,0.932,1967756,511,1967.756,0.932,0.5409641035367184
39049009396,93.96,Black,1552,969.0376245091594,0.853,1601589,12617,1601.589,0.853,0.6595437116893267
39049010204,102.04,Black,1363,167.02043629218065,0.318,8160678,70764,8160.678,0.318,0.11367698806938774
39049009230,92.30,Other,1326,717.5522701113505,0.925,1847949,5258,1847.949,0.925,0.4883784443354905
39049009420,94.20,White,1287,323.0136293178916,0.708,3984352,116352,3984.352,0.708,0.21984864428197326
39049006933,69.33,Other,1259,832.2695839511454,0.962,1512731,0,1512.731,0.962,0.5664570256529619
39049008730,87.30,Black,1258,269.800122718307,0.944,4662711,93440,4662.711,0.944,0.18363061438610437
39049008230,82.30,Black,1134,1014.6779337077083,0.984,1117596,0,1117.596,0.984,0.6906072928858842
39049009386,93.86,Other,1083,413.2865323542678,0.875,2620458,25330,2620.458,0.875,0.2812899382293988
39049009326,93.26,Black,1079,1469.254588186594,0.862,734386,78703,734.386,0.862,1
39049004900,49,White,1059,435.50962028002573,0.841,2431634,0,2431.634,0.841,0.29641535495733734
39049007553,75.53,Black,1052,781.9939209636068,0.724,1345279,19245,1345.279,0.724,0.5322385427625388
39049008350,83.50,Other,1032,230.10602937999133,0.79,4484889,38882,4484.889,0.79,0.15661413020598175
39049002730,27.30,Black,1015,1090.3637625391834,0.95,930882,0,930.882,0.95,0.7421203726747921
39049006921,69.21,White,977,364.5261235015999,0.916,2680192,109256,2680.192,0.916,0.24810276342339754
39049009392,93.92,Black,948,245.35704496944294,0.826,3863757,35872,3863.757,0.826,0.16699423431596785
39049006000,60,White,946,976.7419769835813,0.731,968526,0,968.526,0.731,0.66478742679246
39049009381,93.81,White,911,293.0857814789733,0.896,3108305,86956,3108.305,0.896,0.19947923514107255
39049007043,70.43,White,882,338.91714052303905,0.812,2602406,4220,2602.406,0.812,0.2306728481558411
39049009340,93.40,Black,870,561.4276006842963,0.965,1549621,2866,1549.621,0.965,0.38211730301773644
39049004700,47,Other,863,650.1455859032164,0.861,1327395,0,1327.395,0.861,0.4425002930946427
39049005002,50.02,White,858,605.0780007602262,0.94,1417999,0,1417.999,0.94,0.41182651776302087
39049009323,93.23,Black,858,777.0289239507846,0.952,1104206,1896,1104.206,0.952,0.5288592802080824
39049009498,94.98,Other,834,150.2174911517575,0.769,5551950,146912,5551.95,0.769,0.10224061395456403
39049006931,69.31,Other,828,409.77237837233264,0.725,2020634,1207,2020.634,0.725,0.27889814445166256
39049009311,93.11,Other,807,474.1488968546948,0.672,1701997,34982,1701.997,0.672,0.3227139126649971
39049008132,81.32,White,804,303.4747863031713,0.452,2649314,8943,2649.314,0.452,0.2065501709119933
39049002900,29,Black,797,888.6876859330887,0.945,896828,0,896.828,0.945,0.6048561584074673
39049008171,81.71,White,794,587.1256796497358,0.294,1352351,27696,1352.351,0.294,0.39960785854981545
39049006992,69.92,Black,788,852.6846581686758,0.821,924140,0,924.14,0.821,0.5803518770842087
39049009350,93.50,Black,772,437.2240801728508,0.745,1765685,34134,1765.685,0.745,0.2975822459145683
39049010000,100,White,771,73.37558028330588,0.272,10507583,2324911,10507.583,0.272,0.049940684802535565
39049008311,83.11,White,759,304.72834812744634,0.953,2490743,0,2490.743,0.953,0.20740336669872364
39049007115,71.15,Other,758,430.43040769368804,0.839,1761028,6123,1761.028,0.839,0.2929583553146773
39049002600,26,Other,756,211.95065250522308,0.999,3566868,21400,3566.868,0.999,0.14425726773929634
39049007209,72.09,White,756,132.33190522234912,0.296,5712908,61933,5712.908,0.296,0.09006737585599636
39049009391,93.91,Other,738,279.6831773221662,0.432,2638700,11681,2638.7,0.432,0.19035719171539978
39049005500,55,Black,737,497.7039438141545,0.629,1480800,0,1480.8,0.629,0.3387458836718273
39049007199,71.99,Other,734,208.2791826375749,0.474,3524116,50459,3524.116,0.474,0.1417584020579037
39049004500,45,White,733,289.222610658228,0.823,2534380,12005,2534.38,0.823,0.19684989448642579
