GEOID,NAME,racial_majority,total_filings_12months,eviction_rate_12months,SVI_numeric,ALAND,AWATER,estimated_population,SVI_normalized,eviction_rate_normalized
39049000110,1.10,White,4,2.0404290614230356,0.022,1960372,17783,1960.372,0.022,0.005313696938660345
39049000120,1.20,White,5,1.735162796443888,0.088,2881574,69431,2881.574,0.088,0.004518720799394472
39049000210,2.10,White,6,3.515624313354626,0.045,1706667,7613,1706.667,0.045,0.0091554087836427309
39049000220,2.20,White,6,3.084344484266759,0.03,1945308,10295,1945.308,0.03,0.008032267405754355
39049000310,3.10,White,94,50.96873122561363,0.71,1844268,284,1844.268,0.71,0.13273305904203364
39049000320,3.20,White,11,8.622825088344763,0.282,1275684,0,1275.684,0.282,0.022455610018897718
39049000330,3.30,White,74,92.9845658186223,0.688,795831,0,795.831,0.688,0.24215093387686082
39049000410,4.10,White,5,6.456119691294181,0.031,774459,21835,774.459,0.031,0.01681306353053464
39049000420,4.20,White,4,2.7312069066760256,0.033,1464554,1775,1464.554,0.033,0.007112624522575105
39049000500,5,White,14,11.091024034249083,0.171,1262282,48380,1262.282,0.171,0.0288833077177874
39049000600,6,White,32,32.5287549110796,0.21,983745,12989,983.745,0.21,0.08471156809974505
39049000710,7.10,Other,87,66.42311524410495,0.758,1309785,335,1309.785,0.758,0.17297945358743708
39049000720,7.20,Black,82,37.50074887166192,0.842,2186623,761,2186.623,0.842,0.09765966298178833
39049000730,7.30,Black,159,152.4280640197869,0.868,1043115,0,1043.115,0.868,0.3969540291604085
39049000810,8.10,White,48,48.27458584428228,0.496,994312,0,994.312,0.496,0.1257169503540393
39049000820,8.20,Other,131,90.52168823639568,0.844,1447167,730,1447.167,0.844,0.23573709410345273
39049000910,9.10,Black,107,83.42878261811995,0.838,1282531,3900,1282.531,0.838,0.21726570904890297
39049000920,9.20,Black,72,78.65465580941103,0.877,915394,0,915.394,0.877,0.20483290092641887
39049001000,10,White,41,45.85806593047693,0.363,894063,0,894.063,0.363,0.11942383548375614
39049001110,11.10,White,11,20.78067321824619,0.505,529338,19421,529.338,0.505,0.05411714709948562
39049001121,11.21,White,0,0,0.283,900552,2724,900.552,0.283,0
39049001122,11.22,White,11,1.8183143597739932,0.446,6049559,209776,6049.559,0.446,0.0047352645724006515
39049001200,12,White,31,46.18669257094499,0.479,671189,0,671.189,0.479,0.12027964684541137
39049001301,13.01,White,26,71.05941386915775,0.423,365891,0,365.891,0.423,0.18505332877204
39049001302,13.02,White,23,72.29544318678313,0.378,318139,0,318.139,0.378,0.18827220333393233
39049001400,14,Black,66,35.58423381213897,0.873,1854754,0,1854.754,0.873,0.09266866358993435
39049001500,15,Black,79,60.206026547047195,0.957,1312161,0,1312.161,0.957,0.15678887592829716
39049001600,16,Other,91,185.64419555881963,0.465,490185,0,490.185,0.465,0.4834556673746784
39049001700,17,White,86,167.591668745323,0.616,513152,0,513.152,0.616,0.4364431746212864
39049001810,18.10,White,38,96.19887852360037,0.439,395015,0,395.015,0.439,0.25052166526039993
39049001820,18.20,White,48,54.67113603203728,0.389,877977,31838,877.977,0.389,0.1423748826454742
39049001901,19.01,White,44,25.525062130321686,0.435,1723796,58279,1723.796,0.435,0.06647251162283127
39049001902,19.02,White,32,28.84889310403271,0.168,1109228,0,1109.228,0.168,0.07512845110318499
39049002000,20,White,16,23.002254220913652,0.048,695584,6741,695.584,0.048,0.05990260095134713
39049002100,21,White,26,49.852933845156784,0.066,521534,3515,521.534,0.066,0.12982729317308264
